mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2014-09	5	10	75	10	0	75	0	0	0	0	0	0	0	75	0	0	75	0	75
1	2014-10	1	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2014-11	1	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2014-12	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2015-01	2	10	75	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
5	2015-02	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2015-03	1	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2015-04	2	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2015-05	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2015-06	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2015-07	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2015-08	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2015-09	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2015-10	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2015-11	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2015-12	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2016-01	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2016-02	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2016-03	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2016-04	0	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2016-05	1	10	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
